showpart,signature,bpm,num_bars,transition,color
Klick,4/4,130.0,2,instant,#ffffff
Intro,4/4,130.0,8,instant,#aaaaff
Verse1,4/4,130.0,16,instant,#00ffff
Chorus1,4/4,130.0,24,instant,#ff007f
Verse2,4/4,130.0,16,instant,#00ffff
Chorus2,4/4,130.0,24,instant,#ff007f
Verse3,4/4,130.0,16,instant,#00ffff
Chorus3,4/4,130.0,24,instant,#ff007f
